204,https://www.vivino.com/hamacher-wines-pinot-noir/w/204,61.99,Hamacher,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4.1,380,26.9216,25.6694,11.46217,73.9482,"I'm not a connoisseur of this variety and even less from Oregon but this 2007 Pinot Noir turned out to be a fresh and lively wine. Frank. Not complex but delivery a one directional clear message. Aromas of fresh strawberries, licorice and dark pepper. Limpid. Undeforest. With time, some coal-like mineral notes appeared. In mouth, same story told from nose, frank, horizontal. Good balance.","Beautiful, earthy, smoky bouquet! To die for! Smooth, deep, luscious. Marionberry, campfire, raspberry. Delightful! I want to find this again!","Good fragrant nose. Nice balance on the palate. Bright berries, vanilla and cigar box with brisk tannins. Could use a few more years in the cellars. A nice wine with Easter ham.",https://images.vivino.com/thumbs/73squa3kS3qAZU1N-rHT0w_pb_x300.png
255,https://www.vivino.com/montinore-estate-pinot-gris/w/255,13.99,Montinore Estate,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.7,996,49.6341,,19.3684,42.28,Wonderful! Reminds me of a beautiful German Riesling. Medium sweet. Very floral up front. I get honey and apricot. Beautiful acidity to balance it out,Hello you sweet thang.,"Fresh, crisp, fruity. The apple and green fruits are awesome in this PG.",https://images.vivino.com/thumbs/4gT_f2KrQgWE7RVTdptohw_pb_x300.png
271,https://www.vivino.com/panther-creek-cellars-winemaker-s-cuvee-pinot-noir/w/271,33.99,Panther Creek,Winemaker's Cuvée Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.8,1203,30.1075,28.9731,10.47557,72.9544,"Had this at an upscale burger joint and not sure of the year. Went very well with Turkey burger and spicy green chili fries. Very traditional Willamette PN. Medium garnet color throughout with decent aggressive thin legs. Nose of red currant, iceberg lettuce and cinnamon. Opening of red fruit favoring plum with cinnamon, caramel dry earth and ash. Medium bodied and medium acidity with youthful firm dry tannins that emerge and fade quickly.",A Oregon Pinot I can get behind. Super well rounded.,Lovely. Leas bar,https://images.vivino.com/thumbs/9fqLeUPYTFOgam7F9PyEYw_pb_x300.png
287,https://www.vivino.com/ponzi-vineyards-pinot-noir/w/287,26.99,Ponzi,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4,2619,29.9758,27.5322,12.24978,73.8529,"3.75, but I'll be nice. Great nose and body but falls off a cliff on the finish",Smooth. Red fruit profile with some earthy notes.,"Strawberry, truffle, cedar... has the perfect funk of an Oregon Pinot.",https://images.vivino.com/thumbs/2WTgyjH-RIux4O1ts_ATqQ_pb_x300.png
288,https://www.vivino.com/ponzi-vineyards-pinot-gris/w/288,17.99,Ponzi,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.7,1868,49.6808,,19.4462,41.3732,Really good and I generally dont like Pinot Gris. On the drier side for Gris. Paired great with chicken kebobs,citrus pear melon lemon minerals pineapple honeysuckle white pepper,Clean great wine with birds,https://images.vivino.com/thumbs/85v3iuJISpm6R_jjZHwfyg_pb_x300.png
296,https://www.vivino.com/rex-hill-vineyards-pinot-noir/w/296,37.99,Rex Hill,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4.1,3239,32.7758,28.508,11.89724,74.4713,"Usually in my opinion the American wines are exaggerated versions of the old world, there are of course exceptions and this is one. Yes you can tell it is a powerful Pinot noir and clearly there has been a lot of sun on these grapes. The grapes are ripe and giving the wine a lot of flavour and depth. Rex hill has kept the lively fragile notes of red berries and a hint of underlying earth and weather.",Pretty damn delicious Pinot. Fruit from all 6 Willamette AVAs,"Moderate red color. Cherry, vanilla, oak. Medium plus acidity and medium-soft tannins that were very finely balanced. ABV seemed on the medium plus end. Pretty finely balanced medium length finish. Slightly on the acidic side but sweet and delicious. Included this in a blind tasting and mistook this for a red burgundy... A testament to Rex Hill and Willamette valley in my book!!",https://images.vivino.com/thumbs/Z46lFgwQSSeVnPlAmFtbVQ_pb_x300.png
315,https://www.vivino.com/the-four-graces-pinot-blanc/w/315,19.99,The Four Graces,Pinot Blanc,White wine,,Willamette Valley,United States,3.8,806,,,,,A good quality New World example of this varietal with some intensity to the fruit but not overdone.,Pineapple and citrus on the nose. Loads of minerals in the mouth and a soft light finish. A solid little winery out of Willamette Valley.,This pinot is on the heavy side from Oregon. Closer to California style in my opinion. Very ripe on the palate. 90 pts 12/02/2028,https://images.vivino.com/thumbs/sLzhxdvmRmGo8CWCbIklMg_pb_x300.png
320,https://www.vivino.com/torii-mor-winery-pinot-blanc/w/320,22.99,Torii Mor,Pinot Blanc,White wine,,Yamhill-Carlton District,United States,3.7,88,,,,,"Earthy flavors with great minerality. Honeysuckle, wildflowers, and grapefruit cleanse the palate for a nice , juicy acidity afterwards.",Clear color. Grass and cat pee smell. But dont let that turn you off. This is a move apricot to citrus wine. Not too dry and easily enjoyed.,"Very drinkable, not too sweet. A nice summer wine.",https://images.vivino.com/thumbs/CWrWV4g6QBSupg3lV-31mw_pb_x300.png
342,https://www.vivino.com/willamette-valley-vineyards-estate-chardonnay/w/342,33.99,Willamette Valley Vineyards,Estate Chardonnay,White wine,Oregon Chardonnay,Willamette Valley,United States,3.9,162,62.3368,,7.5,62.9881,Lemon yellow and crystal clear. Oak 30%. Not overpowering. Brie Cheese and yeast aromas. Mushroom. Truffle. 3.75 star. Bigger bodied.,"Another year in the Cellar and this Chardonnay came alive! It became buttery and dry, with a hint of French Oak. This is ready to drink now through 2020.","I love new world wines , and I'm a bing enthusiast about American whites. This is simply amazing and should be tasted with care otherwise you fall in love.",https://images.vivino.com/thumbs/EvLeq1ieSGu-mQRHV7lutQ_pb_x300.png
344,https://www.vivino.com/willamette-valley-vineyards-riesling/w/344,14.98,Willamette Valley Vineyards,Riesling,White wine,Oregon Riesling,Willamette Valley,United States,4,1850,37.6647,,38.0665,75.4105,"Has a very gentle taste. There are hints of citrus and a few other fruits, but nothing is overpowering. Fairly balanced. A slight citrus bite as an aftertaste","Citrusy and tropical notes. Juicy peach, pineapple, and honeysuckle. Pair with spicy ",This was a fabulous licht riesling for a sweet riesling it was not overwhelmingly sweet at all.,https://images.vivino.com/thumbs/3UUkCAaOReyUSlAWWBOxuw_pb_x300.png
423,https://www.vivino.com/solena-cellars-pinot-gris/w/423,15.99,Soléna Estate,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.8,466,50.5346,,24.3861,41.4765,Green apples and tropical fruits appear on the nose. Lime and a hint of mango appear on the pallate with a medium to long finish,"I really liked this one. Medium bodied, minerals, crisp apple, pear, flashes of citrus with a spicy long finish. Nose has honeysuckle and pear. Just a lovely wine.",More acidic on the nose than on the palate. Grassy. Straw. Hints of peach late. Pale in color. Citrusy lemon sensibility overall but no sharp edge of lemon across the palate or through the finish.,https://images.vivino.com/thumbs/MwHkIaKKRmqzs_1wcVVZBw_pb_x300.png
450,https://www.vivino.com/alexander-valley-cyrus/w/450,52.99,Alexander Valley Vineyards,Cyrus,Red wine,Californian Bordeaux Blend,Alexander Valley,United States,4.3,2053,92.5,73.9115,14.67477,72.4021,Great California interpretation of a full Bordeaux blend... all five varietals.,Fruity fruity but tastes delicious. Why havent I heard of this? Must try.,"Had a single glass with a nice charcuterie plate. Lots of sediment in my glass which is not bad, but I expected more from this wine.",https://images.vivino.com/thumbs/LvwhbrmASDKUFOy_Usi1AA_pb_x300.png
451,https://www.vivino.com/alexander-valley-estate-cabernet-sauvignon/w/451,19.99,Alexander Valley Vineyards,Estate Cabernet Sauvignon,Red wine,Californian Cabernet Sauvignon,Alexander Valley,United States,3.9,12201,92.5,63.2844,12.12257,52.3613,"9/13/14. 89/100. Nice oakey character, good rounded mouthfeel from other varietals influence. Fruit is muted but of dark fruits.","Quite somethinga restful, hovering quality, with dry and smashed fruit and dark blue soil. Nice. Not out of this world. Very much in this world. Good wine.","Blackberry, Dark plum a bit of leather and tobacco. Medium tannins. Good balance. A sleeper that more people will discover. Good value!",https://images.vivino.com/thumbs/I4dVE9cbRD2C_kVb0GMeYA_pb_x300.png
452,https://www.vivino.com/alexander-valley-estate-merlot/w/452,15.94,Alexander Valley Vineyards,Estate Merlot,Red wine,Californian Merlot,Alexander Valley,United States,3.7,2481,74.2956,29.8071,21.0926,19.3082,Decent California merlot enjoyed at a wedding yesterday. Moderate body and tannins.,"Very enjoyable fruit forward with notes of raspberry, chocolate and wood. Smooth and a bit chewy. Easy to drink on its own or with food.",Awesome Merlot for the price. Not too dry. Medium plus bodied. Nice dark fruit tastes.,https://images.vivino.com/thumbs/LdK30oqAQhurhsqCfkUYPA_pb_x300.png
453,https://www.vivino.com/alexander-valley-estate-pinot-noir/w/453,25.99,Alexander Valley Vineyards,Estate Pinot Noir,Red wine,Californian Pinot Noir,Alexander Valley,United States,3.8,722,47.4255,28.4313,11.07737,59.3884,Solid Pinot for the price point. I liked it better than she did.,"Tremendous value, as always from this producer. Not as delicate as some but packed with flavor and mouth watering acidity. Enjoy!","Earthy, oak and maybe a little smoke. Nose is very light, and the taste is smooth and cool. A nice light finish that lingers just enough!",https://images.vivino.com/thumbs/uiJMJU-ATLChgHY3V6Kd2A_pb_x300.png
457,https://www.vivino.com/alexander-valley-sin-zin-zinfandel/w/457,19.98,Alexander Valley Vineyards,Sin Zin Zinfandel,Red wine,Californian Zinfandel,Alexander Valley,United States,3.7,3678,92.5,37.2647,38.1128,22.2332,"2014v in 2019. Holding up beautifully. 4 stars. 89 pts Palate: M acidity, very round M tannins, M+ alcohol that is tamed very well being all the fruit even at 14.7%. Over ripe cranberry attack. Lush dark fruit and berries. Black cherry. Loads of vanilla with a little spice and a dash of smoke.","nice treat for me..had one glass alone..next with garlic mussels and blackened haddock tacos.(king eiders pub, damariscotta me.)balanced, smooth and dry at the same time, with complexity..the complex part is tough for me to pick up ( sinusitis)..but still i think i do ok..alone or with food..nice wine..","Vanilla, fruits, chocolate nose, really bold and full. Inky purple color with dark cherry rim. Smooth berries on the palate with soft tannins and clove.",https://images.vivino.com/thumbs/kF6KBChrQnuAlk3OZLw7DA_pb_x300.png
462,https://www.vivino.com/alexander-valley-estate-chardonnay/w/462,10.99,Alexander Valley Vineyards,Estate Chardonnay,White wine,Californian Chardonnay,Alexander Valley,United States,3.6,1455,92.5,,41.6972,56.6449,"A very smooth Chardonnay with notes of Peach and vanilla, and Apple. You know it almost tasted like it should be sweet, but it wasn't sweet at all, the hints of fruit really made this wine.",9/13/14. 87/100. A small disconnect on balance as it has decent buttery character but the fruit pokes through somehow unexpectedly.,"Citrus nose with slight hint of oak. Flavors of green apple, pear, and spice. Bright finish is complemented by a brief buttery note.",https://images.vivino.com/thumbs/7fjkWosuQ6GJv5doj8ELfg_pb_x300.png
465,https://www.vivino.com/ambyth-estate-grenache/w/465,49.99,AmByth Estate,Grenache,Red wine,,Paso Robles,United States,3.6,19,,,,,"Dry, earthy, interesting.",Ruby rhubarb color. Actually light bodied. Medium acidity. Hudson natural wine fest,At this stage the wine was DEAD. Im just keeping it for cooking purposes.,https://images.vivino.com/thumbs/FTdinYQ0TAGlKWT15phK2g_pb_x300.png
531,https://www.vivino.com/br-cohn-winery-cabernet-sauvignon-silver-label/w/531,19.99,B.R. Cohn,Cabernet Sauvignon Silver Label,Red wine,Californian Cabernet Sauvignon,North Coast,United States,3.9,6157,92.5,58.5904,15.69818,51.1774,"Doobie Brothers Road manager, Bruce Cohns second act. Sonoma Cabernet, not as tanic due to being near the ocean. Smooth finish, 2017 aged oak barrels.","Great tabaco, pepper and cherry aroma. Slightly dry. Strong pepper, clove and black cherry flavor. This one has character!","Really a 3.75 but couldnt bring myself to do a 3.5. Cherries, tobacco and a nice pepper finish. Nice. Cheers all!",https://images.vivino.com/thumbs/6CfB2MwNR3KliyZnf5xSYg_pb_x300.png
590,https://www.vivino.com/bernardus-winery-chardonnay/w/590,19.99,Bernardus,Chardonnay,White wine,Californian Chardonnay,Monterey County,United States,4.2,5641,92.5,,42.5604,51.888,Nice surprise with this wine from California. So different from other Chardonnay. I really enjoyed it. A must try...,"It's big, it's bold, it's California baby. Loving this grand Chardonnay",Chewy American Chardonnay with a good fresh finish. This is a deadly wine that will put you on your knees if you drink too merry,https://images.vivino.com/thumbs/wm3ljLPEQCWZ3a_syykP9g_pb_x300.png
592,https://www.vivino.com/bernardus-winery-marinus/w/592,69.99,Bernardus,Marinus,Red wine,Californian Bordeaux Blend,Carmel Valley,United States,4.2,1598,92.5,67.6221,14.61613,69.5389,Great wine! Adventurous and exciting,Ready to drink Bordeaux blend with lots of tart black cherry smoothed by cedar and leather. Cant find a better wine at this price.,Beautifully matured (19yrs) cool climate Bordeaux blend from Carmel valley. Maintains bright current fruit with soft tannin bite. Well made.,https://images.vivino.com/thumbs/W-g--xAUT7G4oN7IxLnrXw_pb_x300.png
617,https://www.vivino.com/bogle-pinot-noir/w/617,9.99,Bogle,Pinot Noir,Red wine,Californian Pinot Noir,California,United States,3.5,9639,50.4211,28.2466,11.0673,62.0098,Tastes way more expensive than it costs. Really good at this price range.,"Our ""House Red"" and very affordable go-to for just about any occasion, but especially when serving at dinner with meat.",California is homeland of this great pinot noir. It strong bouquet brings you the scebt of wood and fruits that will resemble the region. Excellent choice for some california baked pizza.,https://images.vivino.com/thumbs/8xrT0HcpRvGG7HyxgzQCjQ_pb_x300.png
618,https://www.vivino.com/bogle-chardonnay/w/618,8.99,Bogle,Chardonnay,White wine,Californian Chardonnay,California,United States,3.8,13237,92.5,,46.1557,53.0334,"Tropical fruit, citrus, nuts and hints of vanilla on nose. Well balanced. Full bodied. Rich flavours of toasted oak and pineapple. Long buttery, pleasant finish.",aftertaste is much drier than expected,Nice strawberry notes. Med body. A bit too sweet though.,https://images.vivino.com/thumbs/nxLdBc-oS7Gy7MhhcdNotg_pb_x300.png
619,https://www.vivino.com/bogle-sauvignon-blanc/w/619,8.99,Bogle,Sauvignon Blanc,White wine,Californian Sauvignon Blanc,California,United States,3.5,3302,50.2017,,11.909,76.7693,Very nice to have with dinner or just alone Like NZ Sauvignon Blanca very much but this is nice too,"Light, crisp, and clean - a delightful smooth experience - a well balanced blend of citrus, apple, and tropical notes. Refreshing.",Too citrusy and acidic.,https://images.vivino.com/thumbs/VaiuVABdS3mkTVaw0OR1yw_pb_x300.png
620,https://www.vivino.com/bogle-merlot/w/620,8.99,Bogle,Merlot,Red wine,Californian Merlot,California,United States,3.6,14124,73.0139,27.8199,23.1477,17.6973,"Great for the price! A little dryer than I like, but dark with enough velvet. Dark cherries and oak.",Great smell and taste. For some reason it gave me a headache. I really need to try it again just in case that was a fluke. I really liked it.,"Attack had notes of oak and vanilla, with darker berries backing it like blackberry. Also has an earthy element that is enjoyable. Middle is balanced and pleasant. Finish is short but dominated by the flavors making it quite pleasant. Overall a good Merlot at a good price point.",https://images.vivino.com/thumbs/GzW7I3fuSoaHNGZ_IY8KqA_pb_x300.png
621,https://www.vivino.com/bogle-cabernet-sauvignon/w/621,9.99,Bogle,Cabernet Sauvignon,Red wine,Californian Cabernet Sauvignon,California,United States,3.7,16265,92.5,58.5703,13.9505,50.6002,Go to basic Cabernet! Love it.,"Non acid, soft and full","Very inexpensive wine with a distinct flavor that could be disliked or appreciated. For me, it works. Not quite dry and deep, but headed that direction.",https://images.vivino.com/thumbs/aJKR0eiGQLeZw29CQNP9Uw_pb_x300.png
622,https://www.vivino.com/bogle-old-vine-zinfandel/w/622,9.99,Bogle,Old Vine Zinfandel,Red wine,Californian Zinfandel,California,United States,3.7,20222,92.5,37.3584,37.5024,19.1927,Bold & spicy. Good zin,Good for large groups,"Tried this at a tasting. It's quite good. Good body, with a touch of sweetness and not too much acid. Flavors of red fruit with some white pepper.",https://images.vivino.com/thumbs/EiCHnK3CQXicZDuy8oX8uA_pb_x300.png
623,https://www.vivino.com/bogle-petite-sirah/w/623,9.99,Bogle,Petite Sirah,Red wine,Californian Petite Sirah,California,United States,3.7,14950,86.9974,83.6243,16.36407,62.2196,"Good value if purchased in the US. In Israel however, I'd say it doesn't deliver according to its price. Full body with dark fruits with well integrated oak, not over-done.",Bogle is always a safe bet. This one is full-bodied and deep purple in color. Dark fruit and oak. Really good.,"This is our house red. good value, no hesitation to open anytime.",https://images.vivino.com/thumbs/kj7H05h8TWGEGJ6coQoDtw_pb_x300.png
624,https://www.vivino.com/bogle-phantom/w/624,15.99,Bogle,Phantom,Red wine,Californian Red Blend,California,United States,4,23664,92.5,61.8771,15.80832,72.0085,"Smooth and spicy! Very spicy. Lots of oak on the nose with dark fruit and smoke. First taste is spicy, very spicy, pepper with subtle layers of blackberry, plum and cherry. Very consistent through mid-palette and tail. Great value.",Can't beat it for $13 a bottle at Trader Joes!,Super dark and smooth,https://images.vivino.com/thumbs/7c91APz2Q3WcZ6ayRzUizg_pb_x300.png
639,https://www.vivino.com/bonny-doon-le-cigare-volant/w/639,19.93,Bonny Doon,Le Cigare Volant,Red wine,Californian Rhône Blend Red,Central Coast,United States,4,3020,92.3689,62.818,12.1959,66.0913,"Eye: chocolate halftransparrent ruby 1st nose: grapefruit's freshness, pomegranate 2nd nose: vanilla, fried meat, boiled cherry. Taste: rowanberry, prune Grainy tannins, medium plus acidity medium alcohol. Hedonistic level- medium plus","Fantastic with champagne, raspberry mimosa","Savage like quality on the nose with violets, and green notes reminiscent of lignified tannins.",https://images.vivino.com/thumbs/hXTHlgYIQIq4MNOlx2V1zw_pb_x300.png
